Category,Style,Formal,Semi_Formal,Casual,Day_Out,Night_Out
Bottom,Pants,15,15,5,0,10
Bottom,Jeans,5,10,15,10,10
Bottom,Legging_Skinny,0,5,10,10,15
Bottom,Shorts,0,0,5,15,5
Bottom,Skirts,5,10,10,10,10
Top,Collared_And_Button-down,15,10,0,0,5
Top,Blouse_Short_Sleeve,10,15,10,10,10
Top,Blouse_Long_Sleeve,15,15,5,5,10
Top,Blouse_Sleeveless,5,10,10,15,10
Top,Tee_Long_Sleeve,5,10,15,5,5
Top,Tee_Short_Sleeve,0,5,15,15,5
Top,Tank_Camisoles,0,0,5,15,10
Top,Party_Top,0,0,5,10,15
Top,Tunic,0,5,10,10,10
Top,Pull-over,0,0,10,10,0
Top,Sweater_And_Sweatshirt,10,10,5,5,10
Top,Coat_And_Jacket_Light,15,10,0,0,10
