Bottom,Top,Point,Outer
Pants,Collared_And_Button-down,10,No
Pants,Blouse_Short_Sleeve,8,No
Pants,Blouse_Long_Sleeve,8,No
Pants,Blouse_Sleeveless,8,Yes
Pants,Tank_Camisoles,5,Yes
Pants,Party_Top,5,No
Jeans,Blouse_Short_Sleeve,5,Yes
Jeans,Blouse_Long_Sleeve,5,No
Jeans,Blouse_Sleeveless,5,Yes
Jeans,Tee_Long_Sleeve,10,No
Jeans,Tee_Short_Sleeve,10,No
Jeans,Tank_Camisoles,8,Yes
Jeans,Party_Top,8,No
Jeans,Pull-over,8,No
Legging_Skinny,Blouse_Short_Sleeve,5,No
Legging_Skinny,Blouse_Long_Sleeve,5,No
Legging_Skinny,Blouse_Sleeveless,5,Yes
Legging_Skinny,Tee_Long_Sleeve,3,No
Legging_Skinny,Tee_Short_Sleeve,3,Yes
Legging_Skinny,Tank_Camisoles,3,Yes
Legging_Skinny,Party_Top,10,No
Legging_Skinny,Tunic,10,No
Legging_Skinny,Pull-over,3,No
Legging_Skinny,Collared_And_Button-down,3,No
Shorts,Blouse_Short_Sleeve,5,No
Shorts,Blouse_Long_Sleeve,5,No
Shorts,Blouse_Sleeveless,5,Yes
Shorts,Tee_Long_Sleeve,8,No
Shorts,Tee_Short_Sleeve,10,Yes
Shorts,Tank_Camisoles,10,Yes
Shorts,Party_Top,3,No
Shorts,Pull-over,5,No
Skirts,Collared_And_Button-down,5,No
Skirts,Blouse_Short_Sleeve,10,No
Skirts,Blouse_Long_Sleeve,8,No
Skirts,Blouse_Sleeveless,10,Yes
Skirts,Tee_Long_Sleeve,8,No
Skirts,Tee_Short_Sleeve,8,Yes
Skirts,Tank_Camisoles,5,Yes
Skirts,Party_Top,10,No
Skirts,Pull-over,3,No
